# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.837758 1.22173 144490	50029 35841 19491 3033.60009766 2854.63989258 2770.26000977
0.842121 1.22173 159085	49810 36571 19922 3035.70996094 2858.40991211 2783.72998047
0.846485 1.22173 170860	49592 37302 20353 3037.81005859 2862.16992188 2797.20996094
0.850848 1.22173 176012	49356 37467 20553 3038.5 2863.39990234 2801.60009766
0.855211 1.22173 178559	49110 37359 20642 3038.5 2863.39990234 2801.60009766
0.859575 1.22173 180219	47363 35834 19959 3018.62988281 2843.13989258 2781.63989258
0.863938 1.22173 180662	44556 33308 18730 2984.7199707 2808.56005859 2747.58007812
0.868301 1.22173 177810	42716 31433 17800 2969.32006836 2791.36010742 2730.52001953
0.872665 1.22173 173989	41430 29930 17041 2964.5 2784.10009766 2723.17993164
0.877028 1.22173 170087	40144 28428 16281 2959.68994141 2776.84008789 2715.83007812
0.881391 1.22173 165844	41828 29515 16835 2991.61010742 2806.56005859 2744.87988281
0.885755 1.22173 160159	41057 29007 16598 2982.86010742 2798.35009766 2736.85009766
0.890118 1.22173 154190	38522 27315 15773 2945.63989258 2763.43994141 2702.69995117
0.894481 1.22173 148380	35987 25623.0019531 14949 2908.41992188 2728.52001953 2668.55004883
0.898845 1.22173 142424	33452 23932 14124 2871.19995117 2693.60009766 2634.39990234
0.903208 1.22173 135266	31441 22542 13375 2836.58007812 2661.12011719 2602.62988281
0.907571 1.22173 128316	30868 22066 12999 2824.27001953 2649.58007812 2591.34008789
0.911935 1.22173 122411	30295 21591 12622 2811.9699707 2638.04003906 2580.06005859
0.916298 1.22173 118109	29723 21115 12246 2799.66992188 2626.48999023 2568.77001953
0.920661 1.22173 115969	30994.0019531 21937 12606 2823.70996094 2649.04003906 2590.82006836
0.925025 1.22173 115490	34011 23985 13656 2882.01000977 2703.73999023 2644.32006836
0.929388 1.22173 115780	37029 26033 14706 2940.31005859 2758.43994141 2697.81005859
0.933751 1.22173 114488	40046 28081 15756 2998.62011719 2813.12988281 2751.31005859
0.938114 1.22173 106726	42413 29677 16559 3042.70996094 2854.5 2791.76000977
0.942478 1.22173 97208.2	42616 29811 16622 3044.79003906 2856.44995117 2793.66992188
0.946841 1.22173 88316.6	42310 29606 16521 3037.57006836 2849.67993164 2787.05004883
0.951204 1.22173 81579.8	42005 29402.0019531 16420 3030.35009766 2842.90991211 2780.41992188
0.955568 1.22173 79168.2	42004 29382 16380 3026.39990234 2839.19995117 2776.80004883
0.959931 1.22173 78997.2	42428 29624 16432 3026.16992188 2838.98999023 2776.59008789
0.964294 1.22173 80546.6	41299 28824 15970 3032.26000977 2844.69995117 2782.16992188
0.968658 1.22173 85196.1	40170 28024 15508 3038.34008789 2850.39990234 2787.76000977
0.973021 1.22173 96480.8	39323 27401 15118 3038.20996094 2850.2800293 2787.63989258
0.977384 1.22173 110467	38853 27015 14825 3029.76000977 2842.35009766 2779.87988281
0.981748 1.22173 124571	37971 26355.0019531 14399 3012.19995117 2825.87988281 2763.77001953
0.986111 1.22173 135698	35022 24321 13305 2948.98999023 2766.58007812 2705.77001953
0.990474 1.22173 138367	33085 22945 12505 2917 2736.56005859 2676.41992188
0.994838 1.22173 137830	32510 22455 12099 2926.98999023 2745.93994141 2685.59008789
0.999201 1.22173 135985	31936 21964 11693 2936.97998047 2755.31005859 2694.75
1.00356 1.22173 131323	30957 21051 11145 2956.80004883 2773.11010742 2695.40991211
1.00793 1.22173 118953	28418 19083 10198 2966.88989258 2783.32006836 2674.88989258
1.01229 1.22173 104215	24821 16754 9076 2941.29003906 2763.92993164 2647.14990234
1.01665 1.22173 90028	21224 14425 7954.00048828 2915.68994141 2744.5300293 2619.41992188
1.02102 1.22173 78794.1	17627 12096 6832.00048828 2890.09008789 2725.13989258 2591.68994141
1.02538 1.22173 74254.6	16172.9990234 10878 6350.00048828 2880.70996094 2715.88989258 2565.19995117
1.02974 1.22173 72662.7	16011 10014 6144.00048828 2885.51000977 2713.5 2524.43994141
1.03411 1.22173 72284	15849.0009766 9151 5937.00048828 3000 3000 3000
1.03847 1.22173 72872.4	15686.9990234 8288 5730 3000 3000 3000
1.04283 1.22173 75097	15991 8155 5914 3000 3000 3000
1.0472 1.22173 78040.5	16051.0009766 8156 5838 3000 3000 3000
1.05156 1.22173 81343	16112.0009766 8157 5762 3000 3000 3000
1.05592 1.22173 85084.7	16173 8157.99951172 5685 3000 3000 3000
1.06029 1.22173 89687.7	15940 8083 5653 3000 3000 3000
1.06465 1.22173 94811.3	15621 7993.99951172 5647 3000 3000 3000
1.06901 1.22173 100439	15874.9990234 8343 6043.00048828 3000 3000 3000
1.07338 1.22173 106943	16129 8691.99902344 6440 3000 3000 3000
1.07774 1.22173 115134	16458 8972 6648 3000 3000 3000
1.0821 1.22173 123895	16787 9252 6854 3000 3000 3000
1.08647 1.22173 132284	16935.9980469 9431 7002 3000 3000 3000
1.09083 1.22173 138992	16592 9327 6977 3000 3000 3000
1.09519 1.22173 141785	16253 9200 6918 3000 3000 3000
1.09956 1.22173 142496	15915 9073 6859 3000 3000 3000
1.10392 1.22173 141797	15575.9990234 8946 6799 3000 3000 3000
1.10828 1.22173 139278	15332 8889 6803 3000 3000 3000
1.11265 1.22173 133580	15191 8907 6871 3000 3000 3000
1.11701 1.22173 126431	15049.0009766 8925 6940 3000 3000 3000
1.12137 1.22173 119063	14907.9990234 8942.99902344 7008 3000 3000 3000
1.12574 1.22173 112943	15090 9105 7162 3000 3000 3000
1.1301 1.22173 110512	15215.0009766 9172 7212 3000 3000 3000
1.13446 1.22173 109699	15273.9990234 9176 7202 3000 3000 3000
0.261799 1.22609 50000	47569 31921.9980469 16272.0009766 3056.5300293 2873.13989258 2771.26000977
0.266163 1.22609 50000	47245 31690.9980469 16132.0009766 3053.95996094 2870.7199707 2768.91992188
0.270526 1.22609 50000	46939 31494.0019531 16042.0009766 3051.42993164 2868.34008789 2766.62988281
0.274889 1.22609 50000	46633 31296.0019531 15952.0009766 3048.88989258 2865.95996094 2764.33007812
0.279253 1.22609 50000	46314 31085 15848 3046.37011719 2863.59008789 2762.04003906
