# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.392699 1.22173 83860	11042.9990234	8824.00097656	8108.99951172	3118.7800293	2914.27001953	2607.51000977
0.397062 1.22173 94520	10679.9980469	8949	8391	3166.12011719	2958.5	2647.08007812
0.401426 1.22173 105940	10538.0009766	9063.99902344	8589	3202.5	2992.5	2677.5
0.405789 1.22173 114060	11511.0009766	9337.99902344	8527	3200.95996094	2991.58007812	2685.15991211
0.410152 1.22173 117860	14045.0009766	10400.9980469	8558	3193.0300293	2986.87988281	2724.45996094
0.414516 1.22173 116740	16580	11464	8588	3185.11010742	2982.17993164	2763.76000977
0.418879 1.22173 108490	19094.9980469	12512	8612	3176.42993164	2976.73999023	2801.91992188
0.423242 1.22173 93420	20553	13097.9990234	8628.00097656	3174.7199707	2976.94995117	2831.22998047
0.427606 1.22173 77600	20056.9980469	13283.9990234	8860	3143.52001953	2950.09008789	2805.67993164
0.431969 1.22173 67300	19559.9980469	13469	9092.00097656	3112.32006836	2923.22998047	2780.12988281
0.436332 1.22173 62760	19062.9980469	13654.9990234	9324	3081.11010742	2896.37011719	2754.59008789
0.440696 1.22173 60400	18944.0019531	13798.9990234	9269	3042.22998047	2862.2800293	2722.16992188
0.445059 1.22173 57520	19224	13897.9990234	8910	2995.20996094	2820.54003906	2682.4699707
0.449422 1.22173 53740	19504	13998	8551	2948.18994141	2778.80004883	2642.77001953
0.453786 1.22173 50410	19713	14048	8229	2899.25	2734.56005859	2589.45996094
0.458149 1.22173 49070	20696	14456.9990234	8324	2951.56005859	2782.69995117	2646.47998047
0.462512 1.22173 50280	22648	15555.9990234	8818	3011.73999023	2838.30004883	2699.36010742
0.466876 1.22173 53330	24524.9980469	16545	9334	3092.86010742	2912.37988281	2769.81005859
0.471239 1.22173 56630	26401.9980469	17534	9849	3173.9699707	2986.44995117	2840.26000977
0.475602 1.22173 58960	25889.0019531	17329	9701	3134.94995117	2951.11010742	2806.64990234
0.479966 1.22173 60250	24690.0019531	16780	9362	3061.35009766	2884.2800293	2743.09008789
0.484329 1.22173 61060	23490	16232	9023	2987.75	2817.45996094	2679.54003906
0.488692 1.22173 61720	11100	1181.99853516	1180.00024414	2231.22998047	2191.64990234	2332.25
0.493056 1.22173 62210	24945	17364	9430	2944.02001953	2777.2199707	2646.56005859
0.497419 1.22173 62440	27907	19228.9980469	10255	2979.97998047	2809.5300293	2682.61010742
0.501782 1.22173 62360	30868.9980469	21094	11080	3015.94995117	2841.84008789	2718.66992188
0.506145 1.22173 61920	33423	22699	11782	3046.12988281	2868.92993164	2748.98999023
0.510509 1.22173 61040	30860.9980469	21028	10939	3003.58007812	2830.33007812	2707.19995117
0.514872 1.22173 59560	28299.0019531	19357.9980469	10096	2961.0300293	2791.7199707	2665.40991211
0.519235 1.22173 57370	25737.0019531	17686.9980469	9253	2918.47998047	2753.11010742	2623.62011719
0.523599 1.22173 54600	25248	17331	9042	2911.86010742	2747.7199707	2615.7199707
0.527962 1.22173 51890	29300	19934	10311	2965.37988281	2796.66992188	2667.39990234
0.532325 1.22173 50310	34245	23073	11812	3035.97998047	2861.72998047	2734.37988281
0.536689 1.22173 50600	39190	26213	13312	3106.57006836	2926.79003906	2801.36010742
0.541052 1.22173 52600	42151	28074	14198	3147.65991211	2965.2199707	2839.09008789
0.545415 1.22173 55380	41829	27818	14068	3139.93994141	2959.55004883	2828.42993164
